date,entities,citations,first_degree_citations
2026-07-07,271,226,24
2026-07-08,371,312,52
2026-07-09,486,405,77
2026-07-11,1431,1220,165
2026-07-12,1491,1268,182
2026-07-13,1596,1363,210
2026-07-15,1679,1418,217
2026-07-26,1730,1475,225
2026-07-27,1759,1498,226
2026-07-28,1906,1498,226
2026-07-29,2697,1973,245
2026-07-31,5591,4472,433
2026-08-01,5839,4663,436
2026-08-02,6173,4869,436
2026-08-03,6177,4873,436
2026-08-05,6197,4878,436
2026-08-07,6230,4887,436
2026-08-08,8047,6677,842
2026-08-09,9431,8367,1085
